"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","ID:3 -- 成功查询采购订单","testcases","2026-03-28","broken","2026-03-28","TestRunner","test_runner","",""
"","8","ID:5 -- 成功查询销售订单列表","testcases","2026-03-28","broken","2026-03-28","TestRunner","test_runner","",""
"","8","ID:4 -- 成功新增销售订单","testcases","2026-03-28","broken","2026-03-28","TestRunner","test_runner","",""
"","7","ID:7 -- 成功查看销售订单的商品数据","testcases","2026-03-28","broken","2026-03-28","TestRunner","test_runner","",""
"","7","ID:2 -- 用户登录成功","testcases","2026-03-28","broken","2026-03-28","TestRunner","test_runner","",""
"","8","ID:10 -- 审核拒绝销售订单","testcases","2026-03-28","broken","2026-03-28","TestRunner","test_runner","",""
"","7","ID:9 -- 成功查询销售订单列表未审核的数据","testcases","2026-03-28","broken","2026-03-28","TestRunner","test_runner","",""
"","7","ID:6 -- 成功查看销售订单的基础数据","testcases","2026-03-28","broken","2026-03-28","TestRunner","test_runner","",""
"","6","ID:1 -- 成功获取验证码","testcases","2026-03-28","broken","2026-03-28","TestRunner","test_runner","",""
"","7","ID:8 -- 成功查看销售订单的支付方式","testcases","2026-03-28","broken","2026-03-28","TestRunner","test_runner","",""
"","7","ID:11 -- 成功删除销售订单","testcases","2026-03-28","broken","2026-03-28","TestRunner","test_runner","",""
